date,registrations,modifications,time,hourlyrate
10/1/2012,2538,177,11499,13.24
10/2/2012,3453,307,16260,12.74
10/3/2012,4368,504,16784,15.61
10/4/2012,4763,181,17835,16.02
10/5/2012,4633,414,18718,14.85
10/6/2012,4319,139,14662,17.67
10/7/2012,3714,157,13905,16.03
10/8/2012,5082,304,16731,18.22
10/9/2012,4117,577,18703,13.21
10/10/2012,4573,798,19612,13.99
10/11/2012,3787,692,17624,12.89
10/12/2012,3974,886,18998,12.55
10/13/2012,4539,354,15826,17.21
10/14/2012,3120,373,11890,15.74
10/15/2012,3811,401,19645,11.64
10/16/2012,4063,653,19927,12.23
10/17/2012,3767,511,18902,11.96
10/18/2012,3959,306,17346,13.69
10/19/2012,4120,343,16032,15.42
10/20/2012,4173,292,14205,17.63
10/21/2012,3507,222,14195,14.82
10/22/2012,4792,411,21675,13.27
10/23/2012,4609,342,18482,14.96
10/24/2012,4269,470,19540,13.11
10/25/2012,3559,512,18781,11.37
10/26/2012,3833,908,18886,12.18
10/27/2012,2499,430,14592,10.28
10/28/2012,1956,485,13076,8.98
10/29/2012,2642,954,19450,8.15
10/30/2012,1834,982,19272,5.71
10/31/2012,1218,984,17511,4.17
11/1/2012,1097,1407,18159,3.62
11/2/2012,711,1164,17361,2.46
11/3/2012,266,824,11112,1.44
11/4/2012,291,751,10913,1.6
11/5/2012,202,830,13850,0.88
11/6/2012,146,967,12161,0.72
11/7/2012,34,262,3951,0.52
11/8/2012,103,298,6803,0.91
11/9/2012,21,140,5214,0.24
11/10/2012,11,65,3367,0.2
11/11/2012,0,99,4387,0
11/12/2012,8,108,5685,0.08
11/13/2012,7,83,5530,0.08
11/14/2012,1,62,3853,0.02
11/15/2012,2,70,2582,0.05
11/16/2012,1,55,3131,0.02
11/17/2012,16,45,1806,0.53
11/18/2012,2,38,2308,0.05
11/19/2012,5,82,3356,0.09
11/20/2012,7,59,3081,0.14
11/21/2012,1,78,3187,0.02
11/22/2012,4,37,1745,0.14
11/23/2012,5,58,2660,0.11
11/24/2012,2,84,3040,0.04
11/25/2012,3,78,4107,0.04
11/26/2012,5,397,5297,0.06
11/27/2012,27,149,5874,0.28
11/28/2012,8,114,6696,0.07
11/29/2012,9,116,5206,0.1
11/30/2012,33,106,4567,0.43
12/1/2012,19,33,1244,0.92
12/2/2012,0,4,54,0
